county,areacode,village,number,name,address,administration,latitude,longitude,grade,type2,type,exec,diaper
65000,65000030,積穗里,F030000680,麥當勞中和中山店1F-男廁,新北市中和區積穗里中山路2段583號,台灣麥當勞餐廳股份有限公司,25.00565300,121.48039200,特優級,商業營業場所,男廁所,台灣麥當勞餐廳股份有限公司中和中山分公司,0
65000,65000030,連和里,F030000094,威力購物廣場4F-男廁,新北市中和區連和里中山路2段291號,威力購物廣場管理中心,25.00204400,121.49582000,特優級,商業營業場所,男廁所,威力購物廣場管理中心物管部,0
65000,65000030,連和里,F030000101,威力購物廣場7F-女廁,新北市中和區連和里中山路2段291號,威力購物廣場管理中心,25.00204400,121.49582000,特優級,商業營業場所,女廁所,威力購物廣場管理中心物管部,1
65000,65000030,漳和里,F030000198,全宏加油站二站-男廁,新北市中和區漳和里中和路212號,"台灣中油股份有限公司 全宏二站",24.99949300,121.50574300,優等級,商業營業場所,男廁所,"台灣中油股份有限公司 全宏二站",0
65000,65000030,漳和里,F030000262,中和區公所1F-女廁,新北市中和區漳和里景平路634-2號,新北市中和區公所,24.99845600,121.50091400,特優級,民眾洽公場所,女廁所,新北市中和區公所秘書室,1
65000,65000030,福善里,F030000306,大潤發中和店B1-女廁,新北市中和區福善里中山路2段228號,潤泰全球股份有限公司,25.00288100,121.49920700,特優級,商業營業場所,女廁所,潤泰全球股份有限公司中和分公司,0
65000,65000030,泰安里,F030000359,中油中和加油站-男廁,新北市中和區泰安里中和路260號,台灣中油股份有限公司,24.99938300,121.50783100,特優級,商業營業場所,男廁所,台灣中油股份有限公司中和站,0
65000,65000030,東南里,F030000505,麥當勞中和興南店1F-女廁,新北市中和區東南里興南路1段83號,台灣麥當勞餐廳股份有限公司,24.98874500,121.50982300,特優級,商業營業場所,女廁所,台灣麥當勞餐廳股份有限公司中和興南分公司,0
65000,65000030,外南里,F030000610,中和區圖書館6F-男廁,新北市中和區外南里南山路236號,新北市政府文化局,24.98969400,121.50645600,特優級,文化育樂活動場所,男廁所,新北市立圖書館中和分館,0
65000,65000020,錦通里,F020000854,中央市場1F-女廁,新北市三重區錦通里中央北路26號,新北市政府市場處,25.06433100,121.50082200,特優級,商業營業場所,女廁所,中央公有零售市場,0
65000,65000020,承德里,F020001057,三德閱覽室2F-男廁,新北市三重區承德里龍門路274巷36號,新北市三重區公所,25.07512400,121.50113600,特優級,文化育樂活動場所,男廁所,新北市三重區公所民政課,0
65000,65000020,承德里,F020001060,三德公園-女廁,新北市三重區承德里仁昌街109號,新北市三重區公所,25.07508900,121.50102100,特優級,公園,女廁所,新北市三重區公所經建課,0
65000,65000020,崇德里,F020001067,三重崇德圖書館2F-男廁,新北市三重區崇德里仁孝街62號,新北市政府文化局,25.07437000,121.49730900,特優級,文化育樂活動場所,男廁所,新北市立圖書館三重崇德分館,0
65000,65000020,永清里,F020001327,麥當勞三重三和店2F-男廁,新北市三重區永清里三和路4段392-1號,台灣麥當勞餐廰股份有限公司,25.07933600,121.48176800,特優級,商業營業場所,男廁所,和德昌股份有限公司,0
65000,65000020,永清里,F020001328,麥當勞三重三和店2F-女廁,新北市三重區永清里三和路4段392-1號,台灣麥當勞餐廰股份有限公司,25.07933600,121.48176800,特優級,商業營業場所,女廁所,和德昌股份有限公司,0
65000,65000020,富貴里,F020001446,中油重陽橋加油站-男廁,新北市三重區富貴里集賢路72號,重陽橋加油站股份有限公司,25.08845900,121.49288300,特優級,商業營業場所,男廁所,台灣中油股份有限公司重陽橋加油站,0
65000,65000020,富貴里,F020001447,中油重陽橋加油站-女廁,新北市三重區富貴里集賢路72號,重陽橋加油站股份有限公司,25.08852849,121.49299085,特優級,商業營業場所,女廁所,台灣中油股份有限公司重陽橋加油站,0
65000,65000020,永發里,F020001678,三重太璞宮(仙公廟)-男廁,新北市三重區永發里中正北路317巷1號,三重太璞宮,25.07146000,121.47490200,特優級,宗教禮儀場所,男廁所,三重太璞宮,0
65000,65000020,永發里,F020001679,三重太璞宮(仙公廟)-女廁,新北市三重區永發里中正北路317巷1號,三重太璞宮,25.07146000,121.47490200,特優級,宗教禮儀場所,女廁所,三重太璞宮,0
65000,65000030,平河里,F030000058,全宏加油站-男廁,新北市中和區平河里中正路828號,全宏加油站股份有限公司,25.00357400,121.48494400,特優級,商業營業場所,男廁所,全宏加油站股份有限公司,0
65000,65000030,平河里,F030000059,全宏加油站-女廁,新北市中和區平河里中正路829號,全宏加油站股份有限公司,25.00357400,121.48494400,特優級,商業營業場所,女廁所,全宏加油站股份有限公司,0
65000,65000030,連和里,F030000086,COSTCO中和店B1-男廁,新北市中和區連和里中山路2段347號,台灣好事多總公司,25.00221700,121.49197800,特優級,商業營業場所,男廁所,台灣好市多股份有限公司中和分公司,0
65000,65000030,連和里,F030000087,COSTCO中和店B1-女廁,新北市中和區連和里中山路2段347號,台灣好事多總公司,25.00221700,121.49197800,特優級,商業營業場所,女廁所,台灣好市多股份有限公司中和分公司,4
